Country	Land Area(Km2)	Co2-Emissions	Population
Afghanistan	652,230	8,672	38,041,754
Albania	28,748	4,536	2,854,191
Algeria	2,381,741	150,006	43,053,054
Andorra	468	469	77,142
Angola	1,246,700	34,693	31,825,295
Antigua and Barbuda	443	557	97,118
Argentina	2,780,400	201,348	44,938,712
Armenia	29,743	5,156	2,957,731 
Australia	7,741,220	375,908	25,766,605
Austria	83,871	61,448	8,877,067
Azerbaijan	86,600	37,620	10,023,318
The Bahamas	13,880	1,786	389,482
Bahrain	765	31,694	1,501,635
Bangladesh	148,460	84,246	167,310,838
Barbados	430	1,276	287,025
Belarus	207,600	58,280	9,466,856
Belgium	30,528	96,889	11,484,055
Belize	22,966	568	390,353
Benin	112,622	6,476	11,801,151
Bhutan	38,394	1,261	727,145
Bolivia	1,098,581	21,606	11,513,100
Bosnia and Herzegovina	51,197	21,848	3,301,000
Botswana	581,730	6,340	2,346,179
Brazil	8,515,770	299"	212,559,417
Brunei	5,765	7,664	433,285
Bulgaria	110,879	41,708	6,975,761
Burkina Faso	274,200	3,418	20,321,378
Burundi	27,830	495	11,530,580
Ivory Coast	322,463	9,674	25,716,544
Cape Verde	4,033	543	483,628
Cambodia	181,035	9,919	16,486,542
Cameroon	475,440	291"	25,876,380
Canada	9,984,670	544,894	36,991,981
Central African Republic	622,984	297	4,745,185
Chad	1,284,000	1,016	15,946,876
Chile	756,096	85,822	18,952,038
China	9,596,960	9,893,038	1,397,715,000
Colombia	1,138,910	814"	68.80%
Comoros	2,235	202	850,886
Republic of the Congo	342,000	3,282	5,380,508
Costa Rica	51,100	8,023	5,047,561
Croatia	56,594	17,488	4,067,500
Cuba	110,860	28,284	11,333,483
Cyprus	9,251	6,626	63.10%
Czech Republic	78,867	102,218	10,669,709
Democratic Republic of the Congo	2,344,858	2,021	86,790,567
Denmark	43,094	31,786	5,818,553
Djibouti	23,200	620	973,560
Dominica	751	180	71,808
Dominican Republic	48,670	25,258	10,738,958
Ecuador	283,561	41,155	17,373,662
Egypt	1,001,450	238,560	100,388,073
El Salvador	21,041	7,169	6,453,553
Equatorial Guinea	28,051	5,655	1,355,986
Eritrea	117,600	711	6,333,135
Estonia	45,228	16,590	1,331,824
Eswatini	17,364		1,093,238
Ethiopia	1,104,300	14,870	112,078,730
Fiji	18,274	2,046	889,953
Finland	338,145	45,871	5,520,314
France	643,801	303,276	67,059,887
Gabon	267,667	5,321	2,172,579
The Gambia	11,300	532	2,347,706
Georgia	69,700	10,128	3,720,382
Germany	357,022	727,973	83,132,799
Ghana	238,533	16,670	30,792,608
Greece	131,957	62,434	10,716,322
Grenada	349	268	112,003
